year,country_o,country_d,sector,distance,gdp_o,gdp_d,eu_usa_fta,tariff,log_trade,trade
2010,France,Brazil,Manufacturing,9725.734652947036,362.7295764671953,962.676703365696,0.0,0.06449518972082877,3.3922205014539175,29.731898750548158
2018,Japan,China,Pharmaceuticals,11151.361203074175,619.8674263481481,165.43348361401152,0.0,0.033854543464633666,-0.7421550228185616,1.0
2021,Australia,Italy,Pharmaceuticals,14228.45081957742,379.4335703088083,3479.615646086071,0.0,0.11347725251851075,5.903057929769834,366.155435267149
2011,Brazil,USA,Technology,11780.488838393661,1826.168646776107,464.54775794764316,0.0,0.06070043942847743,4.472128636905186,87.5428718092737
2018,India,Germany,Automotive,2218.458265160268,450.5295778679361,223.7816490934352,0.0,0.189260622052714,2.3853054090713353,10.862379627654052
2016,France,Canada,Technology,5131.394892383899,692.0836164743157,1261.3059277531174,0.0,0.13169099092142283,5.969574048014473,391.3389436434791
2015,Italy,France,Technology,9761.459770667869,562.013020602903,111.99432043401971,0.0,0.039022210338976356,3.0480490413919235,21.074189418485485
2011,Germany,France,Agriculture,9817.811268460742,3386.693694926234,869.9950767956167,0.0,0.20287059362436033,5.381734385612673,217.3990023375068
2023,France,Italy,Manufacturing,6179.155579413623,228.92239148522108,236.70672985446274,0.0,0.06976057346943804,2.626936827794082,13.831337178323425
2019,Australia,Japan,Agriculture,10871.782982169996,573.130363559343,169.40794859934783,0.0,0.041456025869402884,3.8069344787577197,45.01224116908913
2015,Australia,India,Pharmaceuticals,6930.43221377304,606.6547017866849,452.01867851915796,0.0,0.053733168591896564,5.164973192432053,175.03276630612814
2018,Brazil,France,Pharmaceuticals,6041.368437681489,9090.446125363065,826.7167974268308,0.0,0.1218078011890243,6.941826040002145,1034.6578175803818
2020,India,China,Pharmaceuticals,2618.960561265953,1068.2127042986722,1721.7374072616942,0.0,0.025536678965170666,6.579119342049284,719.9050598882241
2010,Japan,Germany,Manufacturing,1532.164857784058,440.27101610764373,1704.2490047448157,0.0,0.13566370683611995,4.776144853892629,118.64606931054836
2014,Brazil,Germany,Pharmaceuticals,14321.848918288208,1361.686315198327,92.53209776961864,0.0,0.16216025334715692,1.203011333392132,3.3301299704375835
2010,Brazil,Australia,Automotive,11923.676163804821,378.69371291890724,127.88042190321846,0.0,0.03016828761274308,3.6512455238344206,38.52261701845624
2011,Germany,France,Automotive,10344.437013155777,1143.1949712369567,549.9472492122917,0.0,0.09054453036257896,5.224190036785842,185.71069076465
2020,UK,France,Automotive,8403.15168836631,797.5479179674451,1095.1131766405056,0.0,0.020949518596537712,2.548217765316864,12.78429884602195
2011,India,Australia,Automotive,13536.627817594572,4367.513472416084,780.4487847570888,0.0,0.034869735565598706,6.27822851362302,532.8439015432325
2016,China,UK,Pharmaceuticals,7100.9640559844265,6055.857444862382,442.02492111323687,0.0,0.19803998029935396,8.566188645148499,5251.077880839911
2015,Brazil,USA,Agriculture,506.1410074141757,87.8194314962231,1458.9271036911546,0.0,0.19818474268166117,7.530274733851737,1863.6174320265188
2020,South Korea,Italy,Technology,4671.21210087057,1067.6244144888,363.06333736668154,1.0,0.004708465647630443,3.37798379306892,29.31161321831877
2017,UK,Australia,Automotive,7447.741124942895,207.64265968973928,626.9547638100048,0.0,0.08249613464628192,3.5480031632365576,34.74387033577421
2010,China,Brazil,Manufacturing,8157.516524269014,537.5319886703926,1086.2099932465062,0.0,0.23252394628560688,2.1769446647374933,8.819319075705572
2015,South Korea,Italy,Agriculture,3820.758353659851,545.9275468944543,4574.668081591662,0.0,0.23568695155038377,6.376989935988336,588.1546573323756
2019,India,Italy,Agriculture,12012.283002177637,2416.4706261623214,80.00824671270281,0.0,0.017033117523665764,4.331847752084324,76.08474250690199
2023,USA,Japan,Agriculture,8290.854137565584,1692.0049314741816,2614.9276089616064,0.0,0.18440629160279068,6.416626382318876,611.9351925132319
2021,South Korea,Brazil,Automotive,10221.912719235957,344.5342825225893,18874.368696349302,0.0,0.20899509643371467,6.3757963371805975,587.4530554335093
2011,Italy,France,Automotive,8023.817345627572,392.5263105766942,2043.4410543817646,0.0,0.04022312065795064,5.063016453948751,158.0665985376648
2018,UK,USA,Pharmaceuticals,8223.14442600892,8670.457475706693,1050.9605486810437,0.0,0.07767039575506873,8.102335163321271,3302.1701856391833
2018,South Korea,France,Agriculture,5659.31501604668,215.26991881683526,1420.7128166287214,0.0,0.2487332199835013,3.741405196350799,42.15718768948459
2021,Canada,Japan,Agriculture,7012.528278595882,3113.3572770802366,2518.1567940404984,0.0,0.14770465241817526,5.197438328646962,180.8084762272347
2017,USA,India,Automotive,1819.9778387362305,214.57856255602843,331.1242999709896,0.0,0.08443698614732739,5.5806385557847324,265.24092284691096
2016,Australia,UK,Manufacturing,8081.154504244695,172.66494737584506,628.658443318195,0.0,0.010889528986430568,4.473447904375565,87.65844048855286
2021,Australia,India,Pharmaceuticals,14776.650919160948,203.5199476082532,573.6518399543453,0.0,0.09346735358045871,4.797986675737166,121.2660237514616
2017,Italy,South Korea,Agriculture,8248.225541563237,846.9684338838442,1082.7762417128085,0.0,0.06196471286334516,6.685916858856382,801.044786594244
2019,South Korea,China,Manufacturing,7838.264486813093,6244.43497912821,487.61653942625446,0.0,0.05289672355247081,6.62671583341282,754.9985535450508
2011,South Korea,Brazil,Technology,11252.690519221167,687.6594685683476,731.7503895864015,0.0,0.039028440175567246,5.079794316079417,160.7409906910662
2019,Germany,Brazil,Automotive,14154.911956785145,1526.4426124947004,1581.9385562363493,0.0,0.16304758908577402,4.217720359197826,67.87856902538599
2022,South Korea,India,Automotive,2076.5232268901964,781.7077276572402,1849.2622086414765,0.0,0.017531910340010164,6.541780328681964,693.5201734643389
2012,France,India,Agriculture,1260.8692623084653,390.03871046248327,1736.1082986097845,0.0,0.1698624924963327,4.561058806844978,95.68473786967014
2011,Japan,South Korea,Technology,1659.2365039056044,170.58674170393874,151.38827942417103,1.0,0.019844793956903597,3.7899913518667585,44.25601754239196
2023,Canada,France,Pharmaceuticals,5116.486929650791,368.54812875836257,1720.9324216790526,0.0,0.0386229070365657,5.120555771744453,167.4283957396366
2019,Germany,China,Technology,1987.7560463302893,418.6727011238851,586.6089285145805,0.0,0.18892184950207044,3.77182573920919,43.45933786503823
2013,India,Brazil,Agriculture,3514.989772851219,933.9837658998392,496.3661562537035,0.0,0.24200989481126517,6.411103734749619,608.5650048548827
2017,Germany,USA,Agriculture,10576.885588272906,435.0633234326397,808.4073447380018,0.0,0.23046460850382622,6.139023418390288,463.6006058906827
2019,France,Japan,Manufacturing,4375.4379342909,129.95508143804167,1557.1843844092105,0.0,0.01658262054302239,2.997415950488332,20.03370190228316
2020,India,South Korea,Pharmaceuticals,2982.834305857577,1245.4905142305622,267.19117657427597,0.0,0.07007635734357139,6.1436773891266645,465.76321800720353
2022,Canada,Brazil,Manufacturing,11260.581337323034,715.5151253954946,1829.4599924301313,0.0,0.11179659788578736,5.059286262780475,157.4780782368196
2016,France,USA,Manufacturing,1061.1089288406486,213.10195413779317,255.6454281970898,0.0,0.0998904552171137,4.961870156807384,142.86071817053363
2013,China,Italy,Pharmaceuticals,5856.2270291947425,1906.2341269972967,340.7045126719303,0.0,0.07094800346540996,5.316898517162879,203.75097087960165
2015,Japan,USA,Automotive,7993.02870297479,14914.46945598628,81.20744956139578,0.0,0.14596600457306066,7.424210257971676,1676.075383029326
2010,Canada,Japan,Manufacturing,4953.195732656844,675.3931966016514,1110.6386047468739,0.0,0.04498310378726649,5.563910961459753,260.8409830907931
